analysis_scheme_id,comparison_label,baseline_year,comparison_year,comparison_note,outcome,outcome_label,scheme_name,treated_road_group,dataset_role,role_label,intervention_date,baseline_observed_weeks,baseline_observed_countline_days,baseline_count_total,baseline_average_per_observed_day,comparison_observed_weeks,comparison_observed_countline_days,comparison_count_total,comparison_average_per_observed_day,difference_comparison_minus_baseline,percent_change,interpretation
12f,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Pedestrian,Pedestrian,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,2023-06-01,NA,NA,NA,NA,53,1098,79261,72.18670309653916,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12f,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Cyclist,Cyclist,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,2023-06-01,NA,NA,NA,NA,53,1098,36883,33.59107468123862,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12f,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,active_travel_total,Active travel,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,2023-06-01,NA,NA,NA,NA,53,1098,116144,105.77777777777777,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12f,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Pedestrian,Pedestrian,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,2023-06-01,7,141,6352,45.04964539007092,53,1092,72421,66.31959706959707,21.269951679526145,47.21447082514463,Comparison-year average is higher by 21.3 per observed countline-day (47.2%).
12f,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Cyclist,Cyclist,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,2023-06-01,7,141,2891,20.50354609929078,53,1092,36049,33.01190476190476,12.508358662613979,61.005830903790084,Comparison-year average is higher by 12.5 per observed countline-day (61%).
12f,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,active_travel_total,Active travel,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,2023-06-01,7,141,9243,65.55319148936171,53,1092,108470,99.331501831501825,33.77831034214012,51.528094322641515,Comparison-year average is higher by 33.8 per observed countline-day (51.5%).
13,2022 vs 2026,2022,2026,Scheme installed in 2024: fixed calendar-year comparison requested by user. 2026 is partial to the available data cut-off.,Pedestrian,Pedestrian,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,2024-03-01,NA,NA,NA,NA,22,584,13034,22.318493150684933,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
13,2022 vs 2026,2022,2026,Scheme installed in 2024: fixed calendar-year comparison requested by user. 2026 is partial to the available data cut-off.,Cyclist,Cyclist,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,2024-03-01,NA,NA,NA,NA,22,584,22292,38.17123287671233,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
13,2022 vs 2026,2022,2026,Scheme installed in 2024: fixed calendar-year comparison requested by user. 2026 is partial to the available data cut-off.,active_travel_total,Active travel,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,2024-03-01,NA,NA,NA,NA,22,584,35326,60.48972602739726,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
13,2023 vs 2025,2023,2025,Scheme installed in 2024: fixed calendar-year comparison requested by user.,Pedestrian,Pedestrian,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,2024-03-01,14,384,24836,64.67708333333333,53,1422,59002,41.49226441631505,-23.184818917018276,-35.847038428631905,Comparison-year average is lower by 23.2 per observed countline-day (-35.8%).
13,2023 vs 2025,2023,2025,Scheme installed in 2024: fixed calendar-year comparison requested by user.,Cyclist,Cyclist,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,2024-03-01,14,384,16781,43.700520833333336,53,1422,67282,47.31504922644163,3.6145283931082943,8.271133442307278,Comparison-year average is higher by 3.6 per observed countline-day (8.3%).
13,2023 vs 2025,2023,2025,Scheme installed in 2024: fixed calendar-year comparison requested by user.,active_travel_total,Active travel,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,2024-03-01,14,384,41617,108.37760416666667,53,1422,126284,88.80731364275668,-19.57029052390999,-18.057504291951453,Comparison-year average is lower by 19.6 per observed countline-day (-18.1%).
